GeneName	geneSymbol	GeneDescription
YIL125W	KGD1	alpha-KetoGlutarate Dehydrogenase
YIL126W	STH1	SNF Two Homolog
YIL127C	RRT14	Regulator of rDNA Transcription
YIL128W	MET18	METhionine requiring
YIL129C	TAO3	Transcriptional Activator of OCH1
YIL130W	ASG1	Activator of Stress Genes
YIL131C	FKH1	ForK head Homolog
YIL132C	CSM2	Chromosome Segregation in Meiosis
YIL133C	RPL16A	Ribosomal Protein of the Large subunit
YIL134C-A	""	""
YIL134W	FLX1	FLavin eXchange
YIL135C	VHS2	Viable in a Hal3 Sit4 background
YIL136W	OM45	Outer Membrane
YIL137C	TMA108	Translation Machinery Associated
YIL138C	TPM2	TroPoMyosin
YIL139C	REV7	REVersionless
YIL140W	AXL2	AXiaL 2 bud site selection
YIL141W	""	""
YIL142C-A	""	""
YIL142W	CCT2	Chaperonin Containing TCP-1
YIL143C	SSL2	Suppressor of Stem-Loop mutation
YIL144W	NDC80	Nuclear Division Cycle
YIL145C	PAN6	PANtothenate biosynthesis
YIL146C	ATG32	AuTophaGy related
YIL147C	SLN1	Synthetic Lethal of N-end rule
YIL148W	RPL40A	Ribosomal Protein of the Large subunit
YIL149C	MLP2	Myosin-Like Protein
YIL150C	MCM10	MiniChromosome Maintenance
YIL151C	ESL1	EST/SMG-like
YIL152W	""	""
YIL153W	RRD1	Resistant to Rapamycin Deletion
YIL154C	IMP2'	Independent of Mitochondrial Particle
YIL155C	GUT2	Glycerol UTilization
YIL156W	UBP7	UBiquitin-specific Protease
YIL156W-A	""	""
YIL156W-B	MCO8	Mitochondrial Class One protein of 8 kDa
YIL157C	COA1	Cytochrome Oxidase Assembly
YIL158W	AIM20	Altered Inheritance rate of Mitochondria
YIL159W	BNR1	BNi1 Related
YIL160C	POT1	Peroxisomal Oxoacyl Thiolase
YIL161W	""	""
YIL162W	SUC2	SUCrose
YIL163C	""	""
YIL164C	NIT1	NITrilase superfamily
YIL165C	""	""
YIL166C	SOA1	SulfOnAte transport
YIL169C	CSS1	Condition Specific Secretion
YIL171W-A	""	""
YIL172C	IMA3	IsoMAltase
YIL173W	VTH1	Vps Ten Homolog
YIL176C	PAU14	seriPAUperin
YIL177C	""	""
YIL177W-A	""	""
YIR001C	SGN1	Slower Growth on Non-fermentable carbon sources
YIR002C	MPH1	Mutator PHenotype
YIR003W	AIM21	Altered Inheritance rate of Mitochondria
YIR004W	DJP1	DnaJ Protein
YIR005W	IST3	Increased Sodium Tolerance
YIR006C	PAN1	Poly(A)-binding protein-dependent poly(A) riboNuclease
YIR007W	EGH1	Cryptococcus neoformans EGCrP2 Homolog
YIR008C	PRI1	DNA PRImase
YIR009W	MSL1	MUD Synthetic Lethal
YIR010W	DSN1	Dosage Suppressor of NNF1
YIR011C	STS1	Sec Twenty-three Suppressor 1
YIR012W	SQT1	Suppressor of QSR1 Truncations
YIR013C	GAT4	""
YIR014W	VLD1	Vacuole Localized Dsc protein
YIR015W	RPR2	RNase P Ribonucleoprotein
YIR016W	""	""
YIR017C	MET28	METhionine
YIR017W-A	""	""
YIR018C-A	""	""
YIR018W	YAP5	Yeast AP-1
YIR019C	FLO11	FLOcculation
YIR020C	""	""
YIR020C-B	""	""
YIR020W-A	""	""
YIR021W	MRS1	Mitochondrial RNA Splicing
YIR021W-A	""	""
YIR022W	SEC11	SECretory
YIR023C-A	""	""
YIR023W	DAL81	Degradation of Allantoin
YIR024C	INA22	INner membrane Assembly 22 kDa
YIR025W	MND2	Meiotic Nuclear Divisions
YIR026C	YVH1	Yeast vaccinia virus VH1 Homolog
YIR027C	DAL1	Degradation of Allantoin
YIR028W	DAL4	Degradation of Allantoin
YIR029W	DAL2	Degradation of Allantoin
YIR030C	DCG1	Dal80p-Controlled Gene
YIR030W-A	""	""
YIR031C	DAL7	Degradation of Allantoin
YIR032C	DAL3	Degradation of Allantoin
YIR033W	MGA2	Multicopy suppressor of GAm1 (snf2)
YIR034C	LYS1	LYSine requiring
YIR035C	NRE1	Novel REductase
YIR036C	IRC24	Increased Recombination Centers
YIR036W-A	""	""
YIR037W	HYR1	HYdroperoxide Resistance
YIR038C	GTT1	GlutaThione Transferase
YIR039C	YPS6	YaPSin
YIR040C	""	""
YIR041W	PAU15	seriPAUperin
YIR042C	""	""
YJL001W	PRE3	PRoteinase yscE
YJL002C	OST1	OligoSaccharylTransferase
YJL003W	COX16	Cytochrome c OXidase
YJL004C	SYS1	Suppressor of Ypt Six
YJL005W	CYR1	CYclic AMP Requirement
YJL006C	CTK2	Carboxy-Terminal domain Kinase
YJL007C	""	""
YJL008C	CCT8	Chaperonin Containing TCP-1
YJL009W	""	""
YJL010C	NOP9	NucleOlar Protein
YJL011C	RPC17	RNA Polymerase C
YJL012C	VTC4	Vacuolar Transporter Chaperone
YJL013C	MAD3	Mitotic Arrest-Deficient
YJL014W	CCT3	Chaperonin Containing TCP-1
YJL015C	""	""
YJL016W	TPH3	Twin PH domain-3
YJL019W	MPS3	MonoPolar Spindle
YJL020C	BBC1	Bni1 synthetic lethal and Bee1 (las17) Complex member
YJL020W-A	""	""
YJL022W	""	""
YJL023C	PET130	PETite colonies
YJL024C	APS3	clathrin Associated Protein complex Small subunit
YJL025W	RRN7	Regulation of RNA polymerase I
YJL026C-A	""	""
YJL026W	RNR2	RiboNucleotide Reductase
YJL027C	""	""
YJL028W	""	""
YJL029C	VPS53	Vacuolar Protein Sorting
YJL030W	MAD2	Mitotic Arrest-Deficient
YJL031C	BET4	Blocked Early in Transport
YJL032W	""	""
YJL033W	HCA4	Helicase CA
YJL034W	KAR2	KARyogamy
YJL035C	TAD2	tRNA-specific Adenosine Deaminase
YJL036W	SNX4	Sorting NeXin
YJL037W	IRC18	Increased Recombination Centers
YJL038C	LOH1	Loss Of Heterozygosity
YJL039C	NUP192	NUclear Pore
YJL041W	NSP1	NucleoSkeletal-like Protein
YJL042W	MHP1	MAP-Homologous Protein
YJL043W	""	""
YJL044C	GYP6	Gtpase-activating protein of Ypt6 Protein
YJL045W	""	""
YJL046W	AIM22	Altered Inheritance rate of Mitochondria
YJL047C	RTT101	Regulator of Ty1 Transposition
YJL047C-A	""	""
YJL048C	UBX6	UBiquitin regulatory X
YJL049W	CHM7	CHarged Multivesicular body protein
YJL050W	MTR4	Mrna TRansport
YJL051W	IRC8	Increased Recombination Centers
YJL052C-A	""	""
YJL052W	TDH1	Triose-phosphate DeHydrogenase
YJL053W	PEP8	carboxyPEPtidase Y-deficient
YJL054W	TIM54	Translocase of the Inner Mitochondrial membrane
YJL055W	LOG1	LOnely Guy
YJL056C	ZAP1	Zinc-responsive Activator Protein
YJL057C	IKS1	""
YJL058C	BIT61	Binding partner of Tor2p
YJL059W	YHC3	Yeast Homolog of human Cln3
YJL060W	BNA3	Biosynthesis of Nicotinic Acid
YJL061W	NUP82	NUclear Pore
YJL062W	LAS21	Local Anestheticum Sensitive
YJL062W-A	COA3	Cytochrome Oxidase Assembly
YJL063C	MRPL8	Mitochondrial Ribosomal Protein, Large subunit
YJL064W	""	""
YJL065C	DLS1	Dpb3-Like Subunit of ISW2/yCHRAC complex
YJL066C	MPM1	Mitochondrial Peculiar Membrane protein
YJL067W	""	""
YJL068C	""	""
YJL069C	UTP18	U Three Protein
YJL070C	""	""
YJL071W	ARG2	ARGinine requiring
YJL072C	PSF2	Partner of Sld Five
YJL073W	JEM1	DnaJ-like protein of the ER Membrane
YJL074C	SMC3	Stability of MiniChromosomes
YJL075C	APQ13	""
YJL076W	NET1	Nucleolar silencing Establishing factor and Telophase regulator
YJL077C	ICS3	Increased Copper Sensitivity
YJL077W-A	""	""
YJL077W-B	""	""
YJL078C	PRY3	Pathogen Related in Yeast
YJL079C	PRY1	Pathogen Related in Yeast
YJL080C	SCP160	S. cerevisiae protein involved in the Control of Ploidy
YJL081C	ARP4	Actin-Related Protein
YJL082W	IML2	Increased Minichromosome Loss
YJL083W	TAX4	""
YJL084C	ALY2	Arrestin-Like Yeast protein
YJL085W	EXO70	EXOcyst
YJL086C	""	""
YJL087C	TRL1	tRNA Ligase
YJL088W	ARG3	ARGinine requiring
YJL089W	SIP4	SNF1-Interacting Protein
YJL090C	DPB11	DNA Polymerase B (II)
YJL091C	GWT1	GPI-anchored Wall protein Transfer
YJL092W	SRS2	Suppressor of Rad Six
YJL093C	TOK1	""
YJL094C	KHA1	K/H ion Antiporter
YJL095W	BCK1	Bypass of C Kinase
YJL096W	MRPL49	Mitochondrial Ribosomal Protein, Large subunit
YJL097W	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis 1
YJL098W	SAP185	Sit4 Associated Protein
YJL099W	CHS6	CHitin Synthase-related
YJL100W	LSB6	Las Seventeen Binding protein
YJL101C	GSH1	glutathione (GSH)
YJL102W	MEF2	Mitochondrial Elongation Factor
YJL103C	GSM1	Glucose Starvation Modulator
YJL104W	PAM16	Presequence translocase-Associated Motor
YJL105W	SET4	SET domain-containing
YJL106W	IME2	Inducer of MEiosis
YJL107C	""	""
YJL108C	PRM10	Pheromone-Regulated Membrane protein
YJL109C	UTP10	U Three Protein
YJL110C	GZF3	Gata Zinc Finger protein
YJL111W	CCT7	Chaperonin Containing TCP-1
YJL112W	MDV1	Mitochondrial DiVision
YJL115W	ASF1	Anti-Silencing Function
YJL116C	NCA3	Nuclear Control of ATPase
YJL117W	PHO86	PHOsphate metabolism
YJL118W	""	""
YJL119C	""	""
YJL120W	""	""
YJL121C	RPE1	Ribulose 5-Phosphate Epimerase
YJL122W	ALB1	Arx1 Little Brother
YJL123C	MTC1	Maintenance of Telomere Capping
YJL124C	LSM1	Like SM
YJL125C	GCD14	General Control Nonderepressible
YJL126W	NIT2	NITrilase superfamily
YJL127C	SPT10	SuPpressor of Ty
YJL127C-B	MCO6	Mitochondrial Class One protein of 6 kDa
YJL127W-A	""	""
YJL128C	PBS2	Polymyxin B Sensitivity
YJL129C	TRK1	TRansport of potassium (K)
YJL130C	URA2	URAcil requiring
YJL131C	AIM23	Altered Inheritance rate of Mitochondria
YJL132W	""	""
YJL133C-A	DPI8	Delta-Psi dependent mitochondrial Import protein of 8 kDa
YJL133W	MRS3	Mitochondrial RNA Splicing
YJL134W	LCB3	Long-Chain Base
YJL135W	""	""
YJL136C	RPS21B	Ribosomal Protein of the Small subunit
YJL136W-A	""	""
YJL137C	GLG2	Glycogenin-Like Gene
YJL138C	TIF2	Translation Initiation Factor
YJL139C	YUR1	Yeast Unknown Reading frame
YJL140W	RPB4	RNA Polymerase B
YJL141C	YAK1	Yet Another Kinase
YJL142C	IRC9	Increased Recombination Centers
YJL143W	TIM17	Translocase of the Inner Mitochondrial membrane
YJL144W	ROQ1	Regulator Of Quality control
YJL145W	SFH5	Sec Fourteen Homolog
YJL146W	IDS2	IME2-Dependent Signaling
YJL147C	SMT1	Suppression of Mitochondrial Translation
YJL148W	RPA34	RNA Polymerase A
YJL149W	DAS1	Dst1-delta 6-Azauracil Sensitivity
YJL150W	""	""
YJL151C	SNA3	Sensitivity to NA+
YJL152W	""	""
YJL153C	INO1	INOsitol requiring
YJL154C	VPS35	Vacuolar Protein Sorting
YJL155C	FBP26	Fructose BisPhosphatase
YJL156C	SSY5	Sulfonylurea Sensitive on YPD
YJL156W-A	""	""
YJL157C	FAR1	Factor ARrest
YJL158C	CIS3	CIk1 Suppressing
YJL159W	HSP150	Heat Shock Protein
YJL160C	PIR5	Protein with Internal Repeats
YJL161W	FMP33	Found in Mitochondrial Proteome
YJL162C	JJJ2	J-protein (Type III)
YJL163C	""	""
YJL164C	TPK1	Takashi's Protein Kinase
YJL165C	HAL5	HALotolerance
YJL166W	QCR8	ubiQuinol-cytochrome C oxidoReductase
YJL167W	ERG20	ERGosterol biosynthesis
YJL168C	SET2	SET domain-containing
YJL169W	""	""
YJL170C	ASG7	a-Specific Gene
YJL171C	TOH1	TOS One Homolog
YJL172W	CPS1	CarboxyPeptidase yscS
YJL173C	RFA3	Replication Factor A
YJL174W	KRE9	Killer toxin REsistant
YJL175W	""	""
YJL176C	SWI3	SWItching deficient
YJL177W	RPL17B	Ribosomal Protein of the Large subunit
YJL178C	ATG27	AuTophaGy related
YJL179W	PFD1	PreFolDin
YJL180C	ATP12	ATP synthase
YJL181W	RBH1	Ran Binding domain Homolog
YJL182C	""	""
YJL183W	MNN11	MaNNosyltransferase
YJL184W	GON7	""
YJL185C	ATG36	AuTophaGy related
YJL186W	MNN5	MaNNosyltransferase
YJL187C	SWE1	Saccharomyces WEe1
YJL188C	BUD19	BUD site selection
YJL189W	RPL39	Ribosomal Protein of the Large subunit
YJL190C	RPS22A	Ribosomal Protein of the Small subunit
YJL191W	RPS14B	Ribosomal Protein of the Small subunit
YJL192C	SOP4	Suppressor Of Pma1-7
YJL193W	""	""
YJL194W	CDC6	Cell Division Cycle
YJL195C	""	""
YJL196C	ELO1	ELOngation defective
YJL197C-A	""	""
YJL197W	UBP12	UBiquitin-specific Protease
YJL198W	PHO90	PHOsphate metabolism
YJL199C	MBB1	""
YJL200C	ACO2	ACOnitase
YJL201W	ECM25	ExtraCellular Mutant
YJL202C	""	""
YJL203W	PRP21	Pre-mRNA Processing
YJL204C	RCY1	ReCYcling
YJL205C	NCE101	NonClassical Export
YJL206C	""	""
YJL207C	LAA1	Large AP-1 Accessory
YJL208C	NUC1	NUClease
YJL209W	CBP1	Cytochrome B mRNA Processing
YJL210W	PEX2	PEroXin
YJL211C	""	""
YJL212C	OPT1	OligoPeptide Transporter
YJL213W	""	""
YJL214W	HXT8	HeXose Transporter
YJL215C	""	""
YJL216C	IMA5	IsoMAltase
YJL217W	REE1	REgulation of Enolase
YJL218W	""	""
YJL219W	HXT9	HeXose Transporter
YJL220W	""	""
YJL221C	IMA4	IsoMAltase
YJL222W	VTH2	Vps Ten Homolog
YJL222W-A	""	""
YJL222W-B	""	""
YJL223C	PAU1	seriPAUperin family
YJL225C	""	""
YJL225W-A	""	""
YJR001W	AVT1	Amino acid Vacuolar Transport
YJR002W	MPP10	M Phase Phosphoproteins
YJR003C	MRX12	Mitochondrial oRganization of gene eXpression (MIOREX)
YJR004C	SAG1	Sexual AGglutination
YJR005C-A	LSO1	Late-annotated Small Open reading frame
YJR005W	APL1	clathrin Adaptor Protein complex Large chain
YJR006W	POL31	POLymerase
YJR007W	SUI2	SUppressor of Initiator codon
YJR008W	MHO1	Memo HOmolog
YJR009C	TDH2	Triose-phosphate DeHydrogenase
YJR010C-A	SPC1	Signal Peptidase Complex
YJR010W	MET3	METhionine requiring
YJR011C	""	""
YJR012C	""	""
YJR013W	GPI14	GlycosylPhosphatidylInositol anchor biosynthesis
YJR014W	TMA22	Translation Machinery Associated
YJR015W	""	""
YJR016C	ILV3	IsoLeucine-plus-Valine requiring
YJR017C	ESS1	ESSential
YJR018W	""	""
YJR019C	TES1	ThioESterase
YJR020W	""	""
YJR021C	REC107	RECombination
YJR022W	LSM8	Like SM
YJR023C	""	""
YJR024C	MDE1	Methylthioribulose-1-phosphate DEhydratase
YJR025C	BNA1	Biosynthesis of Nicotinic Acid
YJR030C	RBH2	Ran Binding domain Homolog
YJR031C	GEA1	Guanine nucleotide Exchange on ARF
YJR032W	CPR7	Cyclosporin-sensitive Proline Rotamase
YJR033C	RAV1	Regulator of (H+)-ATPase in Vacuolar membrane
YJR034W	PET191	PETite colonies
YJR035W	RAD26	RADiation sensitive
YJR036C	HUL4	Hect Ubiquitin Ligase
YJR037W	""	""
YJR038C	""	""
YJR039W	MLO127	Mitochondrially LOcalized protein of 127 kDa
YJR040W	GEF1	Glycerol Ethanol, Ferric requiring
YJR041C	URB2	Unhealthy Ribosome Biogenesis
YJR042W	NUP85	NUclear Pore
YJR043C	POL32	POLymerase
YJR044C	VPS55	Vacuolar Protein Sorting
YJR045C	SSC1	Stress-Seventy subfamily C
YJR046W	TAH11	Topo-A Hypersensitive
YJR047C	ANB1	ANaeroBically induced
YJR048W	CYC1	CYtochrome C
YJR049C	UTR1	Unidentified TRanscript
YJR050W	ISY1	Interactor of SYf1p
YJR051W	OSM1	OSMotic sensitivity
YJR052W	RAD7	RADiation sensitive
YJR053W	BFA1	Byr-Four-Alike
YJR054W	KCH1	Potassium (K) regulator of CcH1
YJR055W	HIT1	HIgh Temperature growth
YJR056C	""	""
YJR057W	CDC8	Cell Division Cycle
YJR058C	APS2	clathrin Associated Protein complex Small subunit
YJR059W	PTK2	Putative serine/Threonine protein Kinase
YJR060W	CBF1	Centromere Binding Factor
YJR061W	MNN14	MaNNosyltransferase regulator
YJR062C	NTA1	N-Terminal Amidase
YJR063W	RPA12	RNA Polymerase A
YJR064W	CCT5	Chaperonin Containing TCP-1
YJR065C	ARP3	Actin-Related Protein
YJR066W	TOR1	Target Of Rapamycin
YJR067C	YAE1	""
YJR068W	RFC2	Replication Factor C
YJR069C	HAM1	6-n-HydroxylAMinopurine sensitive
YJR070C	LIA1	Ligand of eIF5A
YJR071W	""	""
YJR072C	NPA3	Nucleolar Preribosomal Associated
YJR073C	OPI3	OverProducer of Inositol
YJR074W	MOG1	Multicopy suppressor Of ts Gsp1
YJR075W	HOC1	Homologous to OCh1
YJR076C	CDC11	Cell Division Cycle
YJR077C	MIR1	Mitochondrial Import Receptor
YJR078W	BNA2	Biosynthesis of Nicotinic Acid
YJR079W	""	""
YJR080C	AIM24	Altered Inheritance rate of Mitochondria
YJR082C	EAF6	Esa1p-Associated Factor
YJR083C	ACF4	Assembly Complementing Factor
YJR084W	""	""
YJR085C	TMH11	TMem14 Homolog of 11 kDa
YJR086W	STE18	STErile
YJR087W	""	""
YJR088C	EMC2	ER Membrane protein Complex
YJR089W	BIR1	Baculoviral IAP Repeat-containing protein
YJR090C	GRR1	Glucose Repression-Resistant
YJR091C	JSN1	Just Say No
YJR092W	BUD4	BUD site selection
YJR093C	FIP1	Factor Interacting with Poly(A) polymerase
YJR094C	IME1	Inducer of MEiosis
YJR094W-A	RPL43B	Ribosomal Protein of the Large subunit
YJR095W	SFC1	Succinate-Fumarate Carrier
YJR096W	""	""
YJR097W	JJJ3	J-protein (Type III)
YJR098C	""	""
YJR099W	YUH1	Yeast Ubiquitin Hydrolase
YJR100C	AIM25	Altered Inheritance of Mitochondria
YJR101W	RSM26	Ribosomal Small subunit of Mitochondria
YJR102C	VPS25	Vacuolar Protein Sorting
YJR103W	URA8	URAcil requiring
YJR104C	SOD1	SuperOxide Dismutase
YJR105W	ADO1	ADenOsine kinase
YJR106W	ECM27	ExtraCellular Mutant
YJR107W	LIH1	LIpase Homolog
YJR108W	ABM1	Aberrant Microtubules
YJR109C	CPA2	Carbamyl Phosphate synthetase A
YJR110W	YMR1	Yeast Myotubularin Related
YJR111C	PXP2	PeroXisomal Protein
YJR112W	NNF1	Necessary for Nuclear Function
YJR112W-A	""	""
YJR113C	RSM7	Ribosomal Small subunit of Mitochondria
YJR114W	""	""
YJR115W	""	""
YJR116W	TDA4	Topoisomerase I Damage Affected
YJR117W	STE24	STErile
YJR118C	ILM1	Increased Loss of Mitochondrial DNA
YJR119C	JHD2	JmjC domain-containing Histone Demethylase
YJR120W	""	""
YJR121W	ATP2	ATP synthase
YJR122W	IBA57	Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins
YJR123W	RPS5	Ribosomal Protein of the Small subunit
YJR124C	""	""
YJR125C	ENT3	Epsin N-Terminal homology
YJR126C	VPS70	Vacuolar Protein Sorting
YJR127C	RSF2	ReSpiration Factor
YJR128W	""	""
YJR129C	EFM3	Elongation Factor Methyltransferase
YJR130C	STR2	Sulfur TRansfer
YJR131W	MNS1	""
YJR132W	NMD5	Nonsense-Mediated mRNA Decay
YJR133W	XPT1	Xanthine Phosphoribosyl Transferase
YJR134C	SGM1	Slow growth on Galactose and Mannose
YJR135C	MCM22	MiniChromosome Maintenance
YJR135W-A	TIM8	Translocase of the Inner Mitochondrial membrane
YJR136C	TTI2	Two Tel2-Interacting protein
YJR137C	MET5	METhionine requiring
YJR138W	IML1	Increased Minichromosome Loss
YJR139C	HOM6	HOMoserine requiring
YJR140C	HIR3	HIstone Regulation
YJR140W-A	""	""
YJR141W	IPA1	Important for cleavage and PolyAdenylation
YJR142W	""	""
YJR143C	PMT4	Protein O-MannosylTransferase
YJR144W	MGM101	Mitochondrial Genome Maintenance
YJR145C	RPS4A	Ribosomal Protein of the Small subunit
YJR146W	""	""
YJR147W	HMS2	High-copy Mep Suppressor
YJR148W	BAT2	Branched-chain Amino acid Transaminase
YJR149W	""	""
YJR150C	DAN1	Delayed ANaerobic
YJR151C	DAN4	Delayed ANaerobic
YJR151W-A	""	""
YJR152W	DAL5	Degradation of Allantoin
YJR153W	PGU1	PolyGalactUronase
YJR154W	""	""
YJR155W	AAD10	Aryl-Alcohol Dehydrogenase
YJR156C	THI11	THIamine metabolism
YJR157W	""	""
YJR158W	HXT16	HeXose Transporter
YJR159W	SOR1	""
YJR160C	MPH3	Maltose Permease Homolog
YJR161C	COS5	COnserved Sequence
YJR162C	""	""
YKL001C	MET14	METhionine requiring
YKL002W	DID4	Doa4-Independent Degradation
YKL003C	MRP17	Mitochondrial Ribosomal Protein
YKL004W	AUR1	AUreobasidin A Resistance
YKL005C	BYE1	BYpass of ESS1
YKL006C-A	SFT1	Suppressor of sed Five Ts
YKL006W	RPL14A	Ribosomal Protein of the Large subunit
YKL007W	CAP1	CAPping
YKL008C	LAC1	Longevity-Assurance gene Cognate (LAG1 Cognate)
YKL009W	MRT4	mRNA Turnover 4
YKL010C	UFD4	Ubiquitin Fusion Degradation protein
YKL011C	CCE1	Cruciform Cutting Endonuclease
YKL012W	PRP40	Pre-mRNA Processing
YKL013C	ARC19	ARp2/3 Complex subunit
YKL014C	URB1	Unhealthy Ribosome Biogenesis
YKL015W	PUT3	Proline UTilization
YKL016C	ATP7	ATP synthase
YKL017C	HCS1	dna HeliCaSe
YKL018C-A	MCO12	Mitochondrial Class One protein of 12 kDa
YKL018W	SWD2	Set1c, WD40 repeat protein
YKL019W	RAM2	RAS protein and A-factor Maturation
YKL020C	SPT23	SuPpressor of Ty
YKL021C	MAK11	MAintenance of Killer
YKL022C	CDC16	Cell Division Cycle
YKL023C-A	MIN9	mitochondrial MINi protein of 9 kDa
YKL023W	SKA1	SKi Associated factor
YKL024C	URA6	URAcil requiring
YKL025C	PAN3	Poly(A) Nuclease
YKL026C	GPX1	Glutathione PeroXidase
YKL027W	TCD2	tRNA ThreonylCarbamoyladenosine Dehydratase
YKL028W	TFA1	Transcription Factor a, subunit 1
YKL029C	MAE1	MAlic Enzyme
YKL030W	""	""
YKL031W	""	""
YKL032C	IXR1	Intrastrand cross (X)-link Recognition
YKL033W	TTI1	Two Tel2-Interacting protein
YKL033W-A	""	""
YKL034W	TUL1	Transmembrane Ubiquitin Ligase
YKL035W	UGP1	UDP-glucose pyrophosphorylase
YKL036C	""	""
YKL037W	AIM26	Altered Inheritance rate of Mitochondria
YKL038W	RGT1	Restores Glucose Transport
YKL039W	PTM1	""
YKL040C	NFU1	NifU-like protein
YKL041W	VPS24	Vacuolar Protein Sorting
YKL042W	SPC42	Spindle Pole Component
YKL043W	PHD1	PseudoHyphal Determinant
YKL044W	MMO1	Mini Mitochondria ORF
YKL045W	PRI2	DNA PRImase
YKL046C	DCW1	Defective Cell Wall
YKL047W	ANR2	Avl Nine Related family 2
YKL048C	ELM1	ELongated Morphology
YKL049C	CSE4	Chromosome SEgregation
YKL050C	""	""
YKL051W	SFK1	Suppressor of Four Kinase
YKL052C	ASK1	Associated with Spindles and Kinetochores
YKL053C-A	MDM35	Mitochondrial Distribution and Morphology
YKL053W	""	""
YKL054C	DEF1	RNAPII DEgradation Factor
YKL055C	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase
YKL056C	TMA19	Translation Machinery Associated
YKL057C	NUP120	NUclear Pore
YKL058W	TOA2	""
YKL059C	MPE1	Mutant PCF11 Extragenic suppressor
YKL060C	FBA1	Fructose-1,6-Bisphosphate Aldolase
YKL061W	BLI1	BLoc-1 Interactor
YKL062W	MSN4	Multicopy suppressor of SNF1 mutation
YKL063C	""	""
YKL064W	MNR2	MaNganese Resistance
YKL065C	YET1	Yeast Endoplasmic reticulum Transmembrane protein
YKL065W-A	DPC7	Delta-Psi dependent mitochondrial import and Cleavage protein of 7 kDa
YKL066W	""	""
YKL067W	YNK1	Yeast Nucleoside diphosphate Kinase
YKL068W	NUP100	NUclear Pore
YKL068W-A	""	""
YKL069W	""	""
YKL070W	""	""
YKL071W	""	""
YKL072W	STB6	Sin Three Binding protein
YKL073W	LHS1	Lumenal Hsp Seventy
YKL074C	MUD2	Mutant U1 Die
YKL075C	""	""
YKL076C	PSY1	Platinum SensitivitY
YKL077W	PSG1	Pma1 Stabilization in the Golgi
YKL078W	DHR2	DEAH-box RNA helicase
YKL079W	SMY1	Suppressor of MYo2-66
YKL080W	VMA5	Vacuolar Membrane Atpase
YKL081W	TEF4	Translation Elongation Factor
YKL082C	RRP14	Ribosomal RNA Processing
YKL083W	""	""
YKL084W	HOT13	Helper Of Tim
YKL085W	MDH1	Malate DeHydrogenase
YKL086W	SRX1	SulfiRedoXin
YKL087C	CYT2	CYTochrome-c1-heme-lyase
YKL088W	CAB3	Coenzyme A Biosynthesis
YKL089W	MIF2	MItotic Fidelity of chromosome transmission
YKL090W	CUE2	Coupling of Ubiquitin conjugation to ER degradation
YKL091C	""	""
YKL092C	BUD2	BUD site selection
YKL093W	MBR1	Mitochondrial Biogenesis Regulation
YKL094W	YJU3	""
YKL095W	YJU2	""
YKL096C-B	""	""
YKL096W	CWP1	Cell Wall Protein
YKL096W-A	CWP2	Cell Wall Protein
YKL097C	""	""
YKL098W	MTC2	Maintenance of Telomere Capping
YKL099C	UTP11	U Three Protein
YKL100C	YPF1	Yeast Presenilin-like Family 1
YKL100W-A	""	""
YKL101W	HSL1	Histone Synthetic Lethal
YKL102C	""	""
YKL103C	APE1	AminoPeptidase
YKL104C	GFA1	Glutamine:Fructose-6-phosphate Amidotransferase
YKL105C	SEG2	Stability of Eisosomes Guaranteed
YKL106C-A	""	""
YKL106W	AAT1	Aspartate AminoTransferase
YKL107W	""	""
YKL108W	SLD2	Synthetically Lethal with Dpb11-1
YKL109W	HAP4	Heme Activator Protein
YKL110C	KTI12	Kluveromyces lactis Toxin Insensitive
YKL111C	""	""
YKL112W	ABF1	ARS-Binding Factor 1
YKL113C	RAD27	RADiation sensitive
YKL114C	APN1	APurinic/apyrimidinic eNdonuclease
YKL115C	""	""
YKL116C	PRR1	Pheromone Response Regulator
YKL117W	SBA1	increased Sensitivity to Benzoquinone Ansamycins
YKL118W	""	""
YKL119C	VPH2	Vacuolar pH
YKL120W	OAC1	OxaloAcetate Carrier
YKL121W	DGR2	2-Deoxy-Glucose Resistant 2
YKL122C	SRP21	Signal Recognition Particle
YKL123W	""	""
YKL124W	SSH4	Suppressor of SHr3 deletion
YKL125W	RRN3	Regulation of RNA polymerase I
YKL126W	YPK1	Yeast Protein Kinase
YKL127W	PGM1	PhosphoGlucoMutase
YKL128C	PMU1	PhosphoMUtase
YKL129C	MYO3	MYOsin
YKL130C	SHE2	Swi5p-dependent HO Expression
YKL131W	""	""
YKL132C	RMA1	Reduced Mating A
YKL133C	RCI50	Respiratory Chain Interacting protein of ~50 kDa
YKL134C	OCT1	OCTapeptidyl aminopeptidase
YKL135C	APL2	clathrin Adaptor Protein complex Large chain
YKL136W	""	""
YKL137W	CMC1	Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase
YKL138C	MRPL31	Mitochondrial Ribosomal Protein, Large subunit
YKL138C-A	HSK3	Helper of ASK1
YKL139W	CTK1	Carboxy-Terminal domain Kinase
YKL140W	TGL1	TriGlyceride Lipase
YKL141W	SDH3	Succinate DeHydrogenase
